Round, Value, Time
0, 90260278, 1000000000
1, 82368032, 1000000000
2, 90910394, 1000000000
3, 90637411, 1000000000
4, 82404890, 1000000000
5, 91281426, 1000000000
6, 91248940, 1000000000
7, 86515890, 1000000000
8, 91021014, 1000000000
9, 91291569, 1000000000
10, 91290502, 1000000000
11, 91308645, 1000000000
12, 91296888, 1000000000
13, 91302322, 1000000000
14, 91287795, 1000000000
15, 91288249, 1000000000
16, 91291156, 1000000000
17, 91285525, 1000000000
18, 91298025, 1000000000
19, 91290191, 1000000000
20, 91282825, 1000000000
21, 91259330, 1000000000
22, 91155429, 1000000000
23, 91264169, 1000000000
24, 90412474, 1000000000
25, 91306216, 1000000000
26, 91296461, 1000000000
27, 91283779, 1000000000
28, 91294569, 1000000000
29, 91284683, 1000000000
30, 91121608, 1000000000
31, 91298408, 1000000000
32, 91293997, 1000000000
33, 91268837, 1000000000
34, 91294757, 1000000000
35, 91301420, 1000000000
36, 91294465, 1000000000
37, 86985510, 1000000000
38, 86687291, 1000000000
39, 91281373, 1000000000
40, 90572368, 1000000000
41, 86580803, 1000000000
42, 89310583, 1000000000
43, 89677328, 1000000000
44, 91267039, 1000000000
45, 91289791, 1000000000
46, 91261269, 1000000000
47, 91272147, 1000000000
48, 87905284, 1000000000
49, 91262293, 1000000000
50, 89127023, 1000000000
51, 90397678, 1000000000
52, 87020515, 1000000000
53, 91282856, 1000000000
54, 90769698, 1000000000
55, 88099436, 1000000000
56, 87274271, 1000000000
57, 88177269, 1000000000
58, 88817484, 1000000000
59, 89524856, 1000000000
60, 91272494, 1000000000
61, 91276185, 1000000000
62, 91038473, 1000000000
63, 89036881, 1000000000
64, 91162909, 1000000000
65, 91087216, 1000000000
66, 90732766, 1000000000
67, 89218941, 1000000000
68, 90254614, 1000000000
69, 90963007, 1000000000
70, 91296175, 1000000000
71, 90739732, 1000000000
72, 91290737, 1000000000
73, 91250982, 1000000000
74, 90618805, 1000000000
75, 91309262, 1000000000
76, 91056245, 1000000000
77, 91217983, 1000000000
78, 90817475, 1000000000
79, 88687439, 1000000000
80, 88781750, 1000000000
81, 91289897, 1000000000
82, 91144722, 1000000000
83, 87186271, 1000000000
84, 91041403, 1000000000
85, 91280424, 1000000000
86, 91145747, 1000000000
87, 88792226, 1000000000
88, 91301962, 1000000000
89, 90889047, 1000000000
90, 91295731, 1000000000
91, 90321392, 1000000000
92, 86433329, 1000000000
93, 91075575, 1000000000
94, 91276769, 1000000000
95, 91292411, 1000000000
96, 91305177, 1000000000
97, 91293812, 1000000000
98, 91287379, 1000000000
99, 91294541, 1000000000
