Round, Value, Time
0, 28691594, 1000000002
1, 28617133, 1000000001
2, 28555244, 1000000003
3, 28580622, 1000000003
4, 28589203, 1000000002
5, 28486885, 1000000003
6, 28755062, 1000000002
7, 27959155, 1000000001
8, 28543782, 1000000002
9, 26482239, 1000000000
10, 28576445, 1000000002
11, 28501082, 1000000003
12, 28497993, 1000000002
13, 28618646, 1000000001
14, 28619805, 1000000002
15, 28619908, 1000000002
16, 28353182, 1000000002
17, 28619943, 1000000002
18, 28556213, 1000000003
19, 28620120, 1000000001
20, 28617277, 1000000001
21, 28619907, 1000000003
22, 28617715, 1000000002
23, 28378826, 1000000000
24, 28619350, 1000000003
25, 28619068, 1000000001
26, 28854107, 1000000002
27, 27660735, 1000000001
28, 28620697, 1000000001
29, 28591127, 1000000003
30, 28620530, 1000000001
31, 28619495, 1000000001
32, 28619678, 1000000003
33, 28438946, 1000000003
34, 28601782, 1000000002
35, 28619977, 1000000002
36, 28619448, 1000000001
37, 28100005, 1000000000
38, 28618443, 1000000001
39, 26572545, 1000000003
40, 28542096, 1000000002
41, 28852770, 1000000000
42, 28439393, 1000000002
43, 28602255, 1000000003
44, 28597325, 1000000001
45, 28592699, 1000000001
46, 28538476, 1000000001
47, 28541792, 1000000001
48, 28586501, 1000000003
49, 28518423, 1000000001
50, 28566647, 1000000001
51, 28612882, 1000000003
52, 28603366, 1000000000
53, 28321512, 1000000001
54, 28615565, 1000000002
55, 28571885, 1000000000
56, 28509709, 1000000003
57, 28116849, 1000000002
58, 28604758, 1000000003
59, 28614977, 1000000003
60, 28551106, 1000000002
61, 27612269, 1000000002
62, 28926227, 1000000000
63, 28652680, 1000000001
64, 28619367, 1000000001
65, 28620569, 1000000000
66, 28619460, 1000000001
67, 28620151, 1000000002
68, 28620240, 1000000003
69, 28619225, 1000000003
70, 28620444, 1000000003
71, 28619228, 1000000001
72, 28620236, 1000000001
73, 28620039, 1000000003
74, 28619942, 1000000002
75, 28619487, 1000000001
76, 28620436, 1000000003
77, 28800294, 1000000002
78, 28642833, 1000000002
79, 28620388, 1000000001
80, 28619930, 1000000002
81, 28620222, 1000000003
82, 28619830, 1000000001
83, 28620086, 1000000000
84, 28618771, 1000000002
85, 28620502, 1000000002
86, 28619582, 1000000001
87, 28620241, 1000000001
88, 28586272, 1000000003
89, 28619201, 1000000002
90, 28586713, 1000000001
91, 28512822, 1000000003
92, 28619928, 1000000003
93, 28620516, 1000000002
94, 26642804, 1000000002
95, 28619281, 1000000003
96, 28619745, 1000000003
97, 28619818, 1000000003
98, 28620358, 1000000001
99, 28620124, 1000000003
