Round, Value, Time
0, 1000000000, 2106239
1, 1000000000, 2073168
2, 1000000000, 1966028
3, 1000000000, 1946623
4, 1000000000, 2072527
5, 1000000000, 2072880
6, 1000000000, 2073959
7, 1000000000, 1966092
8, 1000000000, 2077987
9, 1000000000, 2072917
10, 1000000000, 1999295
11, 1000000000, 2007856
12, 1000000000, 2014066
13, 1000000001, 1940650
14, 1000000000, 2072741
15, 1000000001, 2000400
16, 1000000001, 2012290
17, 1000000000, 2004804
18, 1000000001, 2000467
19, 1000000001, 2011013
20, 1000000000, 2064502
21, 1000000001, 1972891
22, 1000000000, 2014676
23, 1000000001, 2003158
24, 1000000001, 1998945
25, 1000000000, 2010462
26, 1000000000, 2072358
27, 1000000001, 1973069
28, 1000000001, 2014508
29, 1000000001, 2003204
30, 1000000000, 2071805
31, 1000000000, 2074704
32, 1000000000, 2077987
33, 1000000001, 1935114
34, 1000000000, 1938191
35, 1000000000, 2076853
36, 1000000000, 2071075
37, 1000000000, 2072916
38, 1000000000, 2013468
39, 1000000000, 2078889
40, 1000000000, 2067244
41, 1000000000, 2075977
42, 1000000000, 2076059
43, 1000000000, 2074406
44, 1000000000, 2073509
45, 1000000000, 2075971
46, 1000000000, 1997345
47, 1000000000, 2010192
48, 1000000000, 2076745
49, 1000000000, 1948981
50, 1000000001, 1936048
51, 1000000000, 1939602
52, 1000000000, 2071552
53, 1000000000, 2070926
54, 1000000000, 2072526
55, 1000000000, 2076042
56, 1000000001, 2006643
57, 1000000000, 1999903
58, 1000000001, 1952648
59, 1000000001, 1937470
60, 1000000000, 2069856
61, 1000000000, 2073832
62, 1000000000, 2078783
63, 1000000001, 2014937
64, 1000000001, 2040956
65, 1000000001, 2015216
66, 1000000000, 2073123
67, 1000000000, 2065611
68, 1000000001, 2005060
69, 1000000000, 1947411
70, 1000000001, 2012585
71, 1000000000, 2071968
72, 1000000000, 2072044
73, 1000000000, 2071634
74, 1000000001, 2073146
75, 1000000000, 2067638
76, 1000000000, 2072709
77, 1000000000, 1970995
78, 1000000000, 2072024
79, 1000000000, 1972468
80, 1000000001, 1938395
81, 1000000000, 2003525
82, 1000000000, 2065343
83, 1000000000, 2027091
84, 1000000001, 1947760
85, 1000000000, 2078866
86, 1000000001, 2002725
87, 1000000000, 2012948
88, 1000000000, 2013367
89, 1000000001, 1940508
90, 1000000000, 2008533
91, 1000000000, 1999673
92, 1000000002, 2010433
93, 1000000000, 1976846
94, 1000000001, 2006971
95, 1000000000, 2074784
96, 1000000000, 2073939
97, 1000000001, 1950685
98, 1000000001, 1935629
99, 1000000000, 2072984
