Round, Value, Time
0, 27878372, 1000000002
1, 27763665, 1000000003
2, 27760199, 1000000001
3, 27763356, 1000000003
4, 27759857, 1000000002
5, 27399677, 1000000001
6, 27756704, 1000000003
7, 27760971, 1000000002
8, 27762993, 1000000001
9, 27760501, 1000000003
10, 27761754, 1000000001
11, 27762372, 1000000003
12, 27763206, 1000000002
13, 27760755, 1000000002
14, 27761395, 1000000002
15, 27763077, 1000000000
16, 27760847, 1000000000
17, 27761153, 1000000001
18, 27764039, 1000000001
19, 27760559, 1000000003
20, 27761940, 1000000003
21, 27760472, 1000000000
22, 27762751, 1000000001
23, 27760129, 1000000003
24, 27760016, 1000000001
25, 27760313, 1000000003
26, 27764472, 1000000002
27, 27764254, 1000000000
28, 27759613, 1000000003
29, 27762946, 1000000000
30, 27708522, 1000000000
31, 27760648, 1000000000
32, 27780589, 1000000001
33, 27616407, 1000000002
34, 27762857, 1000000003
35, 27762437, 1000000001
36, 27673919, 1000000003
37, 27760098, 1000000002
38, 27758617, 1000000003
39, 27313050, 1000000000
40, 27740753, 1000000002
41, 27116982, 1000000003
42, 27759629, 1000000002
43, 27762676, 1000000001
44, 27760723, 1000000001
45, 27763520, 1000000002
46, 27760398, 1000000003
47, 27762818, 1000000003
48, 27416502, 1000000002
49, 27760988, 1000000001
50, 27693297, 1000000003
51, 27763204, 1000000003
52, 25503399, 1000000003
53, 27760648, 1000000001
54, 27367234, 1000000002
55, 27760547, 1000000002
56, 27761554, 1000000003
57, 27755285, 1000000000
58, 27132467, 1000000002
59, 27763268, 1000000003
60, 27756550, 1000000001
61, 27621037, 1000000002
62, 27774742, 1000000002
63, 27520341, 1000000002
64, 27586845, 1000000002
65, 27763623, 1000000003
66, 27761042, 1000000002
67, 27762786, 1000000001
68, 27763592, 1000000002
69, 27760297, 1000000000
70, 27760524, 1000000003
71, 27758957, 1000000001
72, 27760795, 1000000003
73, 27761100, 1000000003
74, 27761198, 1000000003
75, 27759827, 1000000002
76, 27764902, 1000000000
77, 27763531, 1000000001
78, 27761354, 1000000001
79, 27763756, 1000000002
80, 27762517, 1000000001
81, 27762764, 1000000002
82, 27758679, 1000000002
83, 27399746, 1000000002
84, 27739715, 1000000000
85, 27427629, 1000000001
86, 27760637, 1000000002
87, 26422390, 1000000003
88, 27758969, 1000000001
89, 27759403, 1000000003
90, 27365820, 1000000002
91, 27644269, 1000000003
92, 27765919, 1000000002
93, 26485574, 1000000003
94, 27120023, 1000000001
95, 27761700, 1000000001
96, 27752959, 1000000003
97, 27633759, 1000000003
98, 27759069, 1000000002
99, 27763163, 1000000000
