Round, Value, Time
0, 1000000000, 1997115
1, 1000000000, 1867427
2, 1000000000, 1868839
3, 1000000000, 1867793
4, 1000000000, 1868195
5, 1000000000, 1868346
6, 1000000000, 1870199
7, 1000000000, 1869733
8, 1000000000, 1866292
9, 1000000000, 1863916
10, 1000000000, 1866885
11, 1000000000, 1871053
12, 1000000000, 1868874
13, 1000000000, 1870341
14, 1000000000, 1868007
15, 1000000000, 1869208
16, 1000000000, 1867041
17, 1000000000, 1869838
18, 1000000000, 1865000
19, 1000000000, 1872256
20, 1000000000, 1868928
21, 1000000000, 1865792
22, 1000000000, 1865363
23, 1000000000, 1865766
24, 1000000000, 1869672
25, 1000000000, 1867965
26, 1000000000, 1865959
27, 1000000000, 1866098
28, 1000000000, 1863827
29, 1000000000, 1863327
30, 1000000000, 1867017
31, 1000000000, 1865034
32, 1000000000, 1864875
33, 1000000000, 1866241
34, 1000000000, 1866635
35, 1000000000, 1866739
36, 1000000000, 1868523
37, 1000000000, 1868593
38, 1000000000, 1867940
39, 1000000000, 1867068
40, 1000000000, 1867741
41, 1000000000, 1868921
42, 1000000000, 1868555
43, 1000000000, 1868830
44, 1000000000, 1870524
45, 1000000000, 1862410
46, 1000000000, 1869324
47, 1000000000, 1867958
48, 1000000000, 1868192
49, 1000000000, 1868790
50, 1000000000, 1866546
51, 1000000000, 1867809
52, 1000000000, 1868938
53, 1000000000, 1866914
54, 1000000000, 1866614
55, 1000000000, 1868401
56, 1000000000, 1868406
57, 1000000000, 1866767
58, 1000000000, 1871016
59, 1000000000, 1868464
60, 1000000000, 1867775
61, 1000000000, 1867760
62, 1000000000, 1868095
63, 1000000000, 1867699
64, 1000000000, 1865501
65, 1000000000, 1868840
66, 1000000000, 1871788
67, 1000000000, 1866455
68, 1000000000, 1867639
69, 1000000000, 1866196
70, 1000000000, 1869231
71, 1000000000, 1866297
72, 1000000000, 1867223
73, 1000000000, 1867029
74, 1000000000, 1871152
75, 1000000000, 1865861
76, 1000000000, 1865322
77, 1000000000, 1865567
78, 1000000000, 1868999
79, 1000000000, 1869260
80, 1000000000, 1865422
81, 1000000000, 1869780
82, 1000000000, 1866549
83, 1000000000, 1867181
84, 1000000000, 1868162
85, 1000000000, 1867474
86, 1000000000, 1866593
87, 1000000000, 1865747
88, 1000000000, 1869199
89, 1000000000, 1870469
90, 1000000000, 1867099
91, 1000000000, 1866523
92, 1000000000, 1863459
93, 1000000000, 1864880
94, 1000000000, 1866970
95, 1000000000, 1867618
96, 1000000000, 1863853
97, 1000000000, 1865932
98, 1000000000, 1867723
99, 1000000000, 1868936
