500 1000
229 455 41
168 377 -60
315 460 7
308 442 -36
135 143 14
84 416 -47
147 486 -23
147 215 89
231 443 34
399 447 9
18 261 40
377 459 -89
56 364 -5
205 491 52
351 376 46
236 442 2
319 389 -6
335 469 -77
218 486 61
103 447 99
57 158 -91
261 344 75
71 74 12
115 162 46
3 6 -99
177 474 -82
246 444 57
57 398 -4
113 348 -54
191 383 -35
456 500 -23
223 466 95
80 495 -55
23 290 -14
24 85 15
73 432 36
420 443 -19
308 325 -74
51 307 -48
197 273 91
100 191 55
322 389 37
53 345 54
125 343 -22
138 142 58
301 433 93
195 483 -31
323 391 -57
213 422 -97
34 387 87
292 294 56
137 379 11
22 373 -38
385 455 -79
11 79 -95
186 205 0
251 270 -20
460 489 84
241 254 47
211 472 66
233 305 -15
148 189 -26
10 74 -86
279 340 5
442 478 53
31 257 31
298 467 -96
102 212 -88
211 268 -60
200 341 -18
391 476 69
424 454 -60
213 322 -32
216 430 -43
13 440 98
4 388 7
155 221 -37
109 272 17
39 436 -92
105 462 -82
279 415 68
13 130 55
255 304 -59
419 494 24
214 491 45
15 174 74
54 119 -49
76 333 92
99 162 -60
26 369 -73
33 475 39
304 416 18
164 481 -7
179 182 15
153 465 1
47 297 80
60 493 -75
49 361 -16
308 434 -5
75 324 81
289 488 61
177 323 -52
141 254 1
152 282 -84
12 126 -46
60 116 -24
31 423 80
354 463 -4
251 318 -61
14 494 98
100 120 -74
233 311 -81
322 480 96
95 221 25
251 307 -18
269 475 -48
211 292 -95
194 224 -21
294 397 65
207 299 -35
278 432 -61
153 487 -93
145 312 -10
212 286 -35
422 431 -64
186 476 -91
9 82 -46
159 382 68
166 430 59
105 268 -23
135 416 -28
164 346 -32
397 446 14
83 158 41
18 40 55
274 324 -11
105 123 -7
31 228 -88
17 165 99
181 232 79
447 481 -50
293 456 29
86 184 -48
112 261 94
2 235 41
385 430 -59
411 446 62
94 495 -55
206 392 88
318 350 20
321 403 41
237 433 -32
90 174 83
103 343 26
106 489 77
185 434 25
242 314 24
131 197 76
318 369 -52
54 485 18
158 354 20
47 49 10
387 388 -4
30 424 49
343 374 -56
233 422 61
50 314 42
113 298 -2
123 467 -17
22 429 19
124 168 79
153 429 -56
154 365 -70
85 97 68
11 398 4
107 475 -53
82 272 -58
52 178 -61
294 301 -61
222 418 50
282 322 53
222 406 -27
84 384 -1
343 408 2
31 362 29
39 91 51
314 384 95
147 231 -84
190 320 -93
173 264 -30
57 285 -8
192 312 25
25 255 -54
306 345 -5
119 454 89
74 100 -17
11 115 46
36 429 76
65 185 93
219 348 80
325 335 -86
392 493 0
345 490 63
81 415 17
116 444 -6
45 335 -73
20 467 -16
37 397 -90
84 377 80
120 334 -37
54 175 11
30 486 -70
229 497 -10
64 384 -1
70 350 0
318 391 -97
119 331 -27
164 218 54
123 166 78
47 101 40
330 351 -35
235 289 78
210 479 73
123 222 31
312 453 77
29 132 -57
150 288 61
202 389 90
53 379 -13
167 344 -73
99 174 -55
222 387 86
164 198 93
148 151 -79
42 290 43
95 287 -98
17 264 -36
107 211 -10
18 161 26
113 257 7
253 277 35
167 255 23
60 267 -73
172 405 -52
288 290 55
218 352 25
53 236 45
153 165 0
236 257 -67
403 491 53
110 479 15
3 121 38
94 410 -34
61 311 75
221 465 -92
94 225 -73
193 329 -90
36 397 -44
12 227 -61
484 500 -17
405 445 56
333 465 -56
53 302 60
34 395 -9
79 453 57
54 201 -61
175 417 -55
25 27 -96
206 429 -29
38 287 24
88 286 70
33 171 -7
417 485 -13
27 322 -10
118 202 42
143 339 -49
44 480 -15
192 266 -26
149 477 89
181 297 -47
66 314 -48
312 340 -80
23 429 -19
170 214 -93
149 161 93
352 472 -69
120 359 -79
7 427 64
166 240 14
195 477 -71
70 444 -79
25 113 -94
185 340 25
311 347 -67
57 247 -30
26 47 -90
64 205 47
251 372 48
315 328 -57
105 352 86
64 444 -74
195 262 36
119 441 83
17 274 -82
330 482 -71
120 353 -55
299 466 44
70 483 -88
16 398 -70
210 359 75
329 412 19
185 254 -77
235 249 50
106 369 -5
71 403 20
261 385 -56
128 327 -92
38 121 42
32 362 62
115 340 -33
84 89 -87
42 246 78
51 500 3
164 460 -69
138 163 -31
283 374 92
235 307 -80
147 167 0
102 189 -46
286 425 -54
210 476 -71
169 242 32
404 464 32
77 337 -50
83 383 -74
101 376 -66
64 213 -96
451 490 -36
12 208 6
439 449 37
22 403 -40
443 450 65
340 378 12
179 215 31
229 244 -81
18 31 -48
78 355 73
263 293 -81
136 174 -37
355 469 68
194 333 -74
11 59 89
72 139 -37
386 441 14
92 341 -95
103 477 -30
2 420 26
274 295 66
127 194 79
104 321 94
285 392 -13
22 29 1
97 369 -49
280 425 -12
52 440 -47
86 267 -95
427 460 -53
148 248 -55
269 432 74
297 377 -18
268 325 39
