1000 10000
547 903 54
709 968 50
72 281 75
373 405 6
720 771 85
267 812 -62
252 717 25
195 779 37
144 742 4
463 755 30
826 906 -40
499 663 23
269 709 59
322 872 15
38 41 -34
587 624 1
120 458 81
264 565 28
170 569 39
68 715 64
576 776 -26
642 898 -69
34 956 -6
360 932 -3
485 818 35
101 365 22
285 415 52
17 129 91
318 593 54
312 376 -79
287 332 -68
646 673 -16
509 704 -95
68 319 -29
682 733 -55
51 447 -20
75 117 87
450 667 -23
793 953 -98
467 817 -64
171 961 85
515 631 -41
350 549 -78
99 796 44
132 525 -90
798 815 -10
910 959 -52
376 817 50
88 129 -35
429 955 -24
104 778 52
202 397 -88
232 528 -4
215 398 26
124 831 81
284 648 48
236 372 86
665 711 79
166 632 18
28 260 -97
202 491 30
10 416 94
76 840 -94
195 711 66
205 431 -58
267 938 -39
311 569 51
570 949 1
85 502 -50
94 245 -59
606 672 23
90 801 -15
294 926 28
268 864 43
847 930 -79
233 795 61
264 317 64
76 860 -46
170 682 16
432 611 63
92 357 66
511 711 -55
87 357 90
105 319 50
368 715 0
143 147 9
316 726 56
72 509 80
163 700 -88
144 210 64
230 356 -72
460 924 -39
340 990 5
487 868 6
945 963 31
34 964 22
663 811 72
307 989 93
266 344 -87
379 541 -85
443 719 -13
310 673 -61
635 845 -11
434 809 -19
44 244 46
33 892 89
509 577 82
920 956 31
297 362 33
969 995 29
41 840 27
474 599 -21
220 643 -70
111 760 1
636 688 -68
555 952 -19
305 600 -39
652 921 -75
555 961 41
153 663 -53
176 883 -68
223 935 -63
632 858 -16
935 989 -80
293 972 54
682 892 85
236 979 40
194 642 82
3 722 19
184 225 -29
167 599 98
231 587 -39
202 794 -26
664 827 99
340 643 0
335 885 62
82 338 13
243 617 99
193 898 -40
128 280 -13
240 425 -76
255 476 -63
167 464 83
746 799 8
180 622 52
217 453 -34
575 702 91
605 854 61
691 844 79
166 543 -98
7 582 -35
96 680 -95
70 748 57
552 993 45
289 567 -86
893 1000 49
690 930 37
236 472 91
169 627 37
333 722 -57
81 416 27
760 826 88
114 727 -49
500 727 45
335 781 74
866 922 -85
123 844 89
348 456 7
115 488 70
460 665 50
353 538 87
286 852 31
358 620 86
224 372 -83
273 495 83
44 972 36
59 531 -10
214 870 23
164 566 -22
406 449 51
690 764 -60
414 944 4
569 741 60
749 784 77
640 807 -11
853 887 35
50 458 89
864 993 -17
35 878 16
73 822 6
165 619 80
258 367 -64
250 528 52
415 988 23
465 798 -13
231 458 90
108 659 -90
349 731 21
655 967 -94
264 512 -8
39 762 -66
101 190 20
6 934 -61
164 604 -5
596 614 -3
277 944 43
490 931 -45
1 155 6
268 673 95
214 816 69
101 583 81
187 340 86
142 935 -47
418 791 -91
281 438 -42
592 601 -23
274 572 -77
739 899 5
482 740 2
79 341 -70
19 482 94
161 439 -99
494 876 -73
446 449 -28
20 958 -57
615 857 49
354 404 8
745 879 48
95 249 80
533 780 1
275 625 -77
724 958 -40
698 916 4
154 313 12
521 558 1
302 751 82
748 764 -60
895 962 91
237 322 93
279 434 5
132 963 16
116 129 -12
1 966 29
619 965 -50
511 728 98
742 824 44
63 138 22
481 924 -86
204 443 1
366 684 -86
316 684 35
280 538 -67
18 400 -84
529 760 34
19 709 14
402 541 -99
605 901 44
618 883 -75
111 550 2
622 1000 -39
576 640 -73
105 960 -71
87 668 -67
467 840 42
139 719 34
21 111 -36
573 591 -51
212 643 -22
219 648 -4
229 607 0
268 315 34
86 729 0
735 868 90
127 197 61
69 913 -93
16 908 34
140 664 3
4 368 95
82 623 38
811 839 62
353 925 68
431 832 90
584 695 31
719 951 30
210 934 -35
289 483 -61
565 852 -69
42 184 55
376 537 86
329 806 -18
264 503 -5
221 589 79
522 767 -57
319 602 24
395 522 -43
578 999 27
374 967 84
647 804 -83
541 658 76
129 656 -58
16 775 64
589 686 -92
136 335 -68
486 648 -29
915 966 -93
70 829 -22
370 999 55
6 614 51
368 981 6
751 957 -23
238 344 -54
285 343 -85
551 731 20
560 795 -45
145 653 29
266 982 33
140 349 -62
243 838 99
181 206 -54
192 490 30
103 922 -10
249 708 -12
243 360 -46
576 880 73
188 371 -32
25 584 -44
789 999 -79
190 910 -21
365 385 -95
92 408 9
2 308 -79
539 706 -4
489 893 25
72 670 73
553 668 -41
216 815 -70
600 966 -94
374 556 -93
215 626 -55
331 860 -65
348 591 -43
318 612 -29
222 824 38
39 509 17
475 765 79
526 672 -25
151 581 -42
440 708 -58
