rate, elasped time (s), max val
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 315
0.010000, 0, 322
0.010000, 0, 322
0.010000, 0, 322
0.010000, 0, 322
0.010000, 0, 322
0.010000, 0, 322
0.010000, 0, 322
0.010000, 0, 322
0.010000, 0, 322
0.010000, 0, 358
0.010000, 0, 358
0.010000, 0, 358
0.010000, 0, 358
0.010000, 0, 358
0.010000, 0, 358
0.010000, 0, 358
0.010000, 0, 358
0.010000, 0, 358
0.010000, 0, 358
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 372
0.010000, 0, 383
0.010000, 0, 413
0.010000, 0, 413
0.010000, 0, 431
0.010000, 0, 431
0.010000, 0, 431
0.010000, 0, 431
0.010000, 0, 451
0.010000, 0, 451
0.010000, 0, 451
0.010000, 0, 451
0.010000, 0, 451
0.010000, 0, 451
0.010000, 0, 451
0.010000, 0, 451
0.010000, 0, 451
0.010000, 0, 451
0.010000, 0, 451
0.010000, 0, 451
0.010000, 0, 451
0.010000, 0, 451
0.010000, 0, 506
0.010000, 0, 506
0.010000, 0, 506
0.010000, 0, 506
0.010000, 0, 506
0.020000, 0, 506
0.020000, 0, 506
0.030000, 0, 506
0.030000, 0, 506
0.040000, 0, 506
0.010000, 0, 519
0.010000, 0, 519
0.020000, 0, 519
0.020000, 0, 519
0.010000, 0, 527
0.010000, 0, 527
0.010000, 0, 527
0.010000, 0, 527
0.020000, 0, 527
0.020000, 0, 527
0.020000, 0, 527
0.030000, 0, 527
0.030000, 0, 527
0.030000, 0, 527
0.010000, 0, 556
0.010000, 0, 574
0.010000, 0, 574
0.010000, 0, 574
0.010000, 0, 574
0.010000, 0, 574
0.010000, 0, 574
0.010000, 0, 594
0.010000, 0, 594
0.010000, 0, 594
0.020000, 0, 594
0.020000, 0, 594
0.020000, 0, 594
0.020000, 0, 594
0.030000, 0, 594
0.040000, 0, 594
0.040000, 0, 594
0.040000, 0, 594
0.040000, 0, 594
0.040000, 0, 594
0.040000, 0, 594
0.040000, 0, 594
0.040000, 0, 594
0.040000, 0, 594
0.040000, 0, 594
0.040000, 0, 594
0.040000, 0, 594
0.040000, 0, 594
0.040000, 0, 594
0.050000, 0, 594
0.010000, 0, 625
0.010000, 0, 643
0.010000, 0, 643
0.010000, 0, 643
0.020000, 0, 643
0.020000, 0, 643
0.020000, 0, 643
0.020000, 0, 643
0.030000, 0, 643
0.030000, 0, 643
0.030000, 0, 643
0.040000, 0, 643
0.050000, 0, 643
0.050000, 0, 643
0.050000, 0, 643
0.050000, 0, 643
0.050000, 0, 643
0.050000, 0, 643
0.010000, 0, 672
0.010000, 0, 672
0.010000, 0, 672
0.010000, 0, 672
0.010000, 0, 672
0.010000, 0, 672
0.010000, 0, 672
0.010000, 0, 672
0.010000, 0, 672
0.010000, 0, 693
0.020000, 0, 693
0.020000, 0, 693
0.020000, 0, 693
0.030000, 0, 693
0.030000, 0, 693
0.030000, 0, 693
0.030000, 0, 693
0.030000, 0, 693
0.010000, 0, 698
0.010000, 0, 698
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.010000, 0, 743
0.020000, 0, 743
0.020000, 0, 743
0.020000, 0, 743
0.020000, 0, 743
0.020000, 0, 743
0.020000, 0, 743
0.020000, 0, 743
0.020000, 0, 743
0.010000, 0, 816
0.010000, 0, 816
0.010000, 0, 816
0.010000, 0, 816
0.010000, 0, 816
0.010000, 0, 816
0.020000, 0, 816
0.020000, 0, 816
0.020000, 0, 816
0.020000, 0, 816
0.020000, 0, 816
0.020000, 0, 816
0.020000, 0, 816
0.030000, 0, 816
0.040000, 0, 816
0.040000, 0, 816
0.040000, 0, 816
0.040000, 0, 816
0.040000, 0, 816
0.040000, 0, 816
0.040000, 0, 816
0.040000, 0, 816
0.040000, 0, 816
0.040000, 0, 816
0.050000, 0, 816
0.050000, 0, 816
0.050000, 0, 816
0.060000, 0, 816
0.060000, 0, 816
0.060000, 0, 816
0.010000, 0, 836
0.010000, 0, 836
0.010000, 0, 836
0.010000, 0, 836
0.010000, 0, 836
0.010000, 0, 836
0.010000, 0, 836
0.020000, 0, 836
0.020000, 0, 836
0.020000, 0, 836
0.020000, 0, 836
0.020000, 0, 836
0.020000, 0, 836
0.020000, 0, 836
0.020000, 0, 836
0.030000, 0, 836
0.030000, 0, 836
0.030000, 0, 836
0.030000, 0, 836
0.030000, 0, 836
0.010000, 0, 839
0.010000, 0, 839
0.010000, 0, 859
0.010000, 0, 859
0.010000, 0, 859
0.010000, 0, 859
0.010000, 0, 859
0.010000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.020000, 0, 859
0.030000, 0, 859
0.030000, 0, 859
0.030000, 0, 859
0.030000, 0, 859
0.010000, 0, 904
0.010000, 0, 904
0.010000, 0, 904
0.010000, 0, 904
0.010000, 0, 904
0.010000, 0, 904
0.010000, 0, 904
0.010000, 0, 904
0.010000, 0, 904
0.010000, 0, 904
0.010000, 0, 904
0.010000, 0, 904
0.010000, 0, 904
0.020000, 0, 904
0.020000, 0, 904
0.020000, 0, 904
0.030000, 0, 904
0.030000, 0, 904
0.040000, 0, 904
0.010000, 0, 917
0.010000, 0, 917
0.010000, 0, 917
0.010000, 0, 917
0.010000, 0, 917
0.010000, 0, 917
0.010000, 0, 917
0.010000, 0, 917
0.010000, 0, 917
0.010000, 0, 917
