rate, elasped time (s), max val, avg val
0.001000, 0, 280, 247.50
0.002000, 0, 280, 247.03
0.001000, 0, 298, 253.27
0.001000, 0, 309, 260.35
0.001000, 0, 309, 264.72
0.001000, 0, 309, 268.79
0.001000, 0, 315, 271.32
0.001000, 0, 315, 275.49
0.001000, 0, 316, 277.83
0.001000, 0, 319, 278.85
0.001000, 0, 319, 280.31
0.001000, 0, 319, 281.53
0.001000, 0, 319, 282.01
0.001000, 0, 319, 282.81
0.001000, 0, 326, 283.33
0.001000, 0, 326, 284.43
0.001000, 0, 326, 284.64
0.001000, 0, 326, 285.10
0.001000, 0, 326, 286.23
0.001000, 0, 326, 286.93
0.001000, 0, 326, 287.20
0.001000, 0, 326, 287.37
0.001000, 0, 326, 286.75
0.001000, 0, 326, 287.72
0.001000, 0, 326, 288.77
0.001000, 0, 326, 289.19
0.002000, 0, 326, 289.31
0.002000, 1, 326, 289.31
0.002000, 1, 326, 288.69
0.002000, 1, 326, 289.41
0.002000, 1, 326, 289.74
0.002000, 1, 326, 289.83
0.001000, 1, 327, 290.24
0.001000, 1, 327, 290.24
0.001000, 1, 327, 289.87
0.001000, 1, 327, 290.47
0.001000, 1, 327, 290.86
0.001000, 1, 327, 290.95
0.001000, 1, 327, 290.56
0.001000, 1, 327, 291.76
0.002000, 1, 327, 291.76
0.002000, 1, 327, 292.36
0.003000, 1, 327, 292.19
0.003000, 1, 327, 292.02
0.003000, 1, 327, 291.75
0.001000, 1, 330, 292.33
0.002000, 1, 330, 292.01
0.002000, 1, 330, 291.72
0.002000, 1, 330, 291.77
0.003000, 1, 330, 292.90
0.003000, 1, 330, 293.25
0.003000, 1, 330, 293.11
0.003000, 1, 330, 292.54
0.003000, 1, 330, 292.58
0.001000, 1, 333, 292.96
0.001000, 1, 333, 293.30
0.001000, 1, 333, 293.44
0.001000, 1, 333, 293.92
0.001000, 1, 333, 294.48
0.001000, 1, 333, 293.64
0.001000, 1, 333, 294.00
0.001000, 1, 333, 292.86
0.001000, 1, 333, 294.26
0.001000, 1, 333, 294.32
0.001000, 1, 338, 294.52
0.001000, 1, 338, 294.47
0.001000, 1, 338, 293.69
0.001000, 1, 338, 293.77
0.001000, 1, 338, 293.23
0.001000, 1, 338, 294.22
0.001000, 1, 338, 295.02
0.001000, 2, 338, 294.85
0.001000, 2, 338, 294.88
0.001000, 2, 338, 294.84
0.001000, 2, 338, 293.94
0.001000, 2, 338, 293.93
0.001000, 2, 338, 294.83
0.001000, 2, 338, 294.34
0.001000, 2, 338, 294.39
0.001000, 2, 338, 294.44
0.001000, 2, 338, 294.99
0.001000, 2, 338, 294.86
0.001000, 2, 338, 295.53
0.001000, 2, 338, 295.47
0.001000, 2, 338, 294.57
0.001000, 2, 338, 294.34
0.001000, 2, 338, 294.23
0.001000, 2, 338, 294.07
0.001000, 2, 338, 294.84
0.001000, 2, 338, 294.67
0.001000, 2, 338, 295.35
0.001000, 2, 338, 294.84
0.001000, 2, 338, 295.28
0.001000, 2, 338, 295.17
0.001000, 2, 338, 296.03
0.001000, 2, 338, 296.26
0.001000, 2, 338, 294.85
0.001000, 2, 338, 294.21
0.001000, 2, 338, 295.50
0.001000, 2, 338, 295.08
0.001000, 2, 338, 295.59
0.001000, 2, 338, 294.82
0.001000, 2, 338, 293.93
0.001000, 2, 338, 294.92
0.001000, 2, 338, 295.43
0.001000, 2, 338, 294.96
0.001000, 2, 338, 295.36
0.001000, 2, 338, 295.52
0.001000, 2, 338, 295.20
0.001000, 2, 338, 294.82
0.001000, 2, 338, 295.51
0.001000, 2, 338, 294.82
0.001000, 2, 338, 294.18
0.001000, 2, 338, 295.32
0.001000, 2, 338, 296.19
0.001000, 2, 338, 296.44
0.001000, 3, 338, 296.02
0.001000, 3, 338, 295.80
0.001000, 3, 338, 295.72
0.001000, 3, 338, 295.41
0.001000, 3, 338, 295.49
0.001000, 3, 338, 296.20
0.001000, 3, 338, 296.61
0.001000, 3, 338, 295.22
0.001000, 3, 338, 295.67
0.001000, 3, 338, 294.91
0.001000, 3, 338, 296.18
0.001000, 3, 338, 296.01
0.001000, 3, 338, 295.05
0.001000, 3, 338, 296.20
0.001000, 3, 338, 296.25
0.001000, 3, 338, 296.20
0.001000, 3, 338, 295.73
0.001000, 3, 338, 295.70
0.001000, 3, 338, 295.28
0.001000, 3, 339, 295.66
0.001000, 3, 339, 295.85
0.001000, 3, 339, 294.90
0.001000, 3, 339, 296.04
0.001000, 3, 339, 296.21
0.001000, 3, 339, 297.62
0.001000, 3, 339, 297.94
0.001000, 3, 339, 298.10
0.001000, 3, 339, 298.03
0.001000, 3, 339, 297.63
0.001000, 3, 339, 297.46
0.001000, 3, 339, 298.15
0.001000, 3, 339, 298.36
0.001000, 3, 339, 299.12
0.001000, 3, 339, 298.42
0.001000, 3, 339, 299.01
0.001000, 3, 339, 300.00
0.001000, 3, 339, 299.33
0.001000, 3, 339, 298.71
0.001000, 3, 339, 298.47
0.001000, 3, 339, 299.25
0.001000, 3, 339, 298.44
0.001000, 3, 339, 298.21
0.001000, 3, 339, 298.14
0.002000, 3, 339, 298.15
0.002000, 4, 339, 298.36
0.002000, 4, 339, 298.84
0.002000, 4, 339, 299.18
0.002000, 4, 339, 298.63
0.002000, 4, 339, 299.10
0.002000, 4, 339, 299.03
0.002000, 4, 339, 298.28
0.002000, 4, 339, 298.71
0.002000, 4, 339, 298.36
0.002000, 4, 339, 298.95
0.002000, 4, 339, 299.04
0.002000, 4, 339, 298.39
0.002000, 4, 339, 298.50
0.002000, 4, 339, 299.15
0.002000, 4, 339, 299.19
0.002000, 4, 339, 298.88
0.002000, 4, 339, 299.29
0.001000, 4, 342, 299.78
0.001000, 4, 342, 299.49
0.001000, 4, 342, 299.40
0.001000, 4, 342, 299.18
0.001000, 4, 342, 298.87
0.002000, 4, 342, 299.56
0.002000, 4, 342, 299.28
0.002000, 4, 342, 299.51
0.002000, 4, 342, 299.45
0.002000, 4, 342, 299.25
0.002000, 4, 342, 299.53
0.002000, 4, 342, 298.92
0.002000, 4, 342, 298.90
0.002000, 4, 342, 298.98
0.002000, 4, 342, 299.79
0.002000, 4, 342, 299.58
0.002000, 4, 342, 301.01
0.002000, 4, 342, 300.18
0.002000, 4, 342, 300.65
0.002000, 4, 342, 300.49
0.002000, 4, 342, 299.19
0.002000, 4, 342, 299.10
0.002000, 4, 342, 298.72
0.002000, 4, 342, 298.20
0.002000, 4, 342, 299.42
0.002000, 4, 342, 300.11
0.002000, 4, 342, 299.82
0.002000, 4, 342, 298.98
0.002000, 5, 342, 300.04
0.002000, 5, 342, 300.37
0.001000, 5, 344, 300.35
0.001000, 5, 344, 299.14
0.001000, 5, 347, 298.77
0.001000, 5, 347, 299.89
0.001000, 5, 347, 300.22
0.001000, 5, 347, 300.13
0.001000, 5, 347, 300.40
0.001000, 5, 347, 300.50
0.001000, 5, 347, 300.52
0.001000, 5, 347, 301.08
0.001000, 5, 347, 300.36
0.001000, 5, 347, 300.06
0.001000, 5, 347, 300.77
0.001000, 5, 347, 300.76
0.001000, 5, 347, 300.88
0.001000, 5, 347, 301.05
0.001000, 5, 347, 300.26
0.001000, 5, 347, 299.88
0.001000, 5, 347, 300.36
0.001000, 5, 347, 299.42
0.001000, 5, 347, 300.30
0.001000, 5, 347, 300.32
0.001000, 5, 347, 300.11
0.001000, 5, 347, 299.82
0.001000, 5, 347, 299.51
0.001000, 5, 347, 300.20
0.001000, 5, 347, 299.73
0.001000, 5, 347, 300.30
0.001000, 5, 347, 300.65
0.001000, 5, 347, 301.07
0.001000, 5, 347, 301.35
0.001000, 5, 347, 301.22
0.001000, 5, 347, 301.12
0.001000, 5, 347, 301.05
0.001000, 5, 347, 300.53
0.001000, 5, 347, 300.88
0.001000, 5, 347, 300.30
0.001000, 5, 347, 300.82
0.001000, 5, 347, 300.78
0.001000, 5, 347, 300.80
0.001000, 5, 347, 300.85
0.001000, 5, 347, 300.79
0.001000, 6, 347, 300.95
0.001000, 6, 347, 300.97
0.001000, 6, 347, 301.02
0.001000, 6, 347, 300.09
0.001000, 6, 347, 300.55
0.001000, 6, 347, 301.27
0.001000, 6, 347, 301.18
0.001000, 6, 347, 301.01
0.001000, 6, 347, 300.85
0.001000, 6, 347, 300.71
0.001000, 6, 347, 300.47
0.001000, 6, 347, 300.85
0.001000, 6, 347, 302.39
0.001000, 6, 347, 301.39
0.001000, 6, 347, 301.74
0.001000, 6, 347, 301.56
0.001000, 6, 347, 301.31
0.001000, 6, 347, 301.33
0.001000, 6, 347, 300.58
0.001000, 6, 347, 299.74
0.001000, 6, 347, 300.12
0.001000, 6, 347, 301.76
0.001000, 6, 347, 301.76
0.001000, 6, 347, 301.40
0.001000, 6, 347, 301.69
0.001000, 6, 347, 301.63
0.001000, 6, 347, 301.61
0.001000, 6, 347, 301.23
0.001000, 6, 347, 300.69
0.001000, 6, 347, 302.64
0.001000, 6, 347, 302.55
0.001000, 6, 347, 301.55
0.001000, 6, 347, 300.80
0.001000, 6, 347, 301.39
0.001000, 6, 347, 301.53
0.001000, 6, 347, 301.81
0.001000, 6, 347, 301.56
0.001000, 6, 347, 301.70
0.001000, 6, 347, 301.55
0.001000, 6, 347, 301.71
0.001000, 6, 347, 302.12
0.001000, 6, 347, 301.19
0.001000, 6, 347, 300.91
0.001000, 6, 347, 301.43
0.001000, 6, 347, 301.98
0.001000, 7, 347, 301.48
0.001000, 7, 347, 301.33
0.001000, 7, 347, 300.75
0.001000, 7, 347, 300.82
0.002000, 7, 347, 301.90
0.002000, 7, 347, 301.49
0.002000, 7, 347, 301.45
0.002000, 7, 347, 302.34
0.002000, 7, 347, 301.48
0.002000, 7, 347, 302.18
0.002000, 7, 347, 302.59
0.002000, 7, 347, 303.23
0.002000, 7, 347, 303.43
0.002000, 7, 347, 303.14
0.002000, 7, 347, 301.88
0.002000, 7, 347, 302.69
0.002000, 7, 347, 302.06
0.002000, 7, 347, 301.34
0.002000, 7, 347, 301.36
0.002000, 7, 347, 302.32
0.002000, 7, 347, 302.49
0.002000, 7, 347, 301.98
0.002000, 7, 347, 301.94
0.002000, 7, 347, 301.45
0.002000, 7, 347, 302.13
0.002000, 7, 347, 302.00
0.002000, 7, 347, 301.47
0.002000, 7, 347, 302.44
0.002000, 7, 347, 302.26
0.002000, 7, 347, 302.43
0.002000, 7, 347, 301.77
0.001000, 7, 348, 301.32
0.001000, 7, 348, 301.46
0.001000, 7, 348, 302.31
0.001000, 7, 348, 301.83
0.001000, 7, 348, 302.49
0.001000, 7, 348, 302.18
0.001000, 7, 348, 301.71
0.001000, 7, 348, 301.81
0.001000, 7, 348, 301.75
0.001000, 7, 348, 302.48
0.001000, 7, 348, 303.12
0.001000, 7, 348, 303.18
0.001000, 7, 348, 301.69
0.001000, 8, 348, 301.80
0.001000, 8, 348, 302.53
0.001000, 8, 348, 301.65
0.001000, 8, 348, 302.64
0.001000, 8, 348, 303.16
0.001000, 8, 348, 303.63
0.001000, 8, 348, 303.83
0.001000, 8, 348, 302.81
0.001000, 8, 348, 303.82
0.001000, 8, 348, 303.50
0.001000, 8, 348, 303.40
0.001000, 8, 348, 302.28
0.001000, 8, 348, 302.57
0.001000, 8, 348, 302.74
0.001000, 8, 348, 302.94
0.001000, 8, 348, 303.14
