rate, elasped time (s), max val, avg val
0.020000, 0, 278, 248.47
0.020000, 0, 278, 248.32
0.010000, 0, 289, 255.31
0.010000, 0, 289, 257.02
0.010000, 0, 289, 260.50
0.010000, 0, 296, 264.80
0.010000, 0, 296, 263.20
0.030000, 0, 296, 267.83
0.010000, 0, 299, 269.03
0.010000, 0, 303, 270.70
0.010000, 0, 303, 273.01
0.010000, 0, 303, 276.16
0.010000, 0, 303, 276.20
0.010000, 0, 303, 277.77
0.010000, 0, 303, 277.73
0.020000, 0, 303, 277.83
0.010000, 0, 309, 278.58
0.010000, 0, 310, 274.02
0.010000, 0, 314, 280.88
0.010000, 0, 314, 279.77
0.020000, 0, 314, 280.87
0.020000, 0, 314, 279.80
0.020000, 0, 314, 281.42
0.020000, 0, 314, 279.11
0.020000, 0, 314, 282.50
0.020000, 0, 314, 280.92
0.020000, 0, 314, 282.27
0.020000, 0, 314, 281.18
0.020000, 0, 314, 279.86
0.020000, 0, 314, 282.15
0.020000, 0, 314, 281.00
0.020000, 0, 314, 282.26
0.020000, 0, 314, 284.05
0.020000, 0, 314, 284.81
0.020000, 0, 314, 283.29
0.010000, 0, 316, 282.69
0.010000, 0, 316, 281.21
0.010000, 0, 316, 283.44
0.010000, 0, 316, 281.85
0.010000, 0, 316, 283.66
0.010000, 0, 316, 281.53
0.010000, 0, 316, 283.39
0.010000, 0, 316, 281.43
0.010000, 0, 316, 282.55
0.010000, 0, 316, 281.92
0.010000, 0, 316, 281.50
0.010000, 0, 316, 283.20
0.010000, 0, 316, 285.98
0.010000, 0, 316, 283.10
0.010000, 0, 316, 281.89
0.010000, 0, 316, 280.45
0.010000, 0, 316, 280.26
0.010000, 0, 316, 283.13
0.010000, 0, 320, 281.88
0.010000, 0, 320, 284.02
0.010000, 0, 320, 284.31
0.010000, 0, 320, 283.18
0.010000, 0, 320, 281.19
0.010000, 0, 320, 284.57
0.010000, 0, 320, 286.11
0.010000, 0, 320, 283.21
0.010000, 0, 320, 284.26
0.010000, 0, 320, 286.32
0.010000, 0, 320, 285.23
0.010000, 0, 320, 286.32
0.010000, 0, 320, 282.93
0.010000, 0, 320, 283.01
0.010000, 0, 320, 283.78
0.010000, 0, 320, 286.44
0.010000, 0, 320, 285.71
0.010000, 0, 321, 284.38
0.010000, 0, 321, 284.55
0.010000, 0, 321, 283.59
0.010000, 0, 321, 286.78
0.010000, 0, 321, 284.70
0.010000, 0, 321, 285.74
0.010000, 0, 321, 284.54
0.010000, 0, 321, 286.49
0.010000, 0, 322, 285.84
0.010000, 0, 322, 287.36
0.010000, 0, 322, 287.54
0.010000, 0, 322, 284.69
0.020000, 0, 322, 288.07
0.020000, 0, 322, 287.65
0.020000, 0, 322, 289.60
0.020000, 0, 322, 287.73
0.020000, 0, 322, 289.51
0.020000, 0, 322, 285.46
0.020000, 0, 322, 288.13
0.020000, 0, 322, 287.56
0.020000, 0, 322, 286.56
0.020000, 0, 322, 286.68
0.020000, 0, 322, 287.76
0.010000, 0, 323, 287.58
0.010000, 0, 323, 287.43
0.010000, 0, 323, 287.55
0.010000, 0, 323, 290.24
0.010000, 0, 323, 286.43
0.010000, 0, 323, 284.48
0.010000, 0, 323, 286.64
0.020000, 0, 323, 286.37
0.020000, 1, 323, 288.55
0.020000, 1, 323, 288.12
0.020000, 1, 323, 290.64
0.020000, 1, 323, 291.27
0.020000, 1, 323, 287.53
0.020000, 1, 323, 288.92
0.020000, 1, 323, 290.18
0.020000, 1, 323, 288.92
0.020000, 1, 323, 288.96
0.020000, 1, 323, 289.38
0.020000, 1, 323, 291.39
0.020000, 1, 323, 286.01
0.020000, 1, 323, 288.38
