rate, elasped time (s), max val, avg val
0.001000, 1, 2603, 2493.70
0.001000, 1, 2879, 2494.21
0.001000, 2, 2879, 2494.68
0.001000, 3, 3182, 2495.46
0.001000, 4, 3182, 2496.23
0.001000, 4, 3182, 2496.74
0.001000, 5, 3182, 2497.29
0.001000, 6, 3207, 2498.08
0.001000, 6, 3207, 2498.61
0.001000, 7, 3207, 2499.36
0.001000, 8, 3207, 2500.14
0.001000, 9, 3207, 2500.68
0.001000, 10, 3212, 2501.48
0.001000, 12, 3227, 2502.29
0.001000, 13, 3227, 2503.05
0.001000, 14, 3227, 2503.59
0.001000, 15, 3227, 2504.35
0.001000, 16, 3227, 2505.14
0.001000, 16, 3227, 2505.57
0.001000, 17, 3227, 2506.03
0.001000, 17, 3227, 2506.57
0.001000, 17, 3227, 2507.04
0.001000, 19, 3227, 2507.75
0.001000, 19, 3227, 2508.22
0.001000, 19, 3227, 2508.72
0.001000, 20, 3227, 2509.20
0.001000, 21, 3227, 2509.94
0.001000, 21, 3227, 2510.43
0.001000, 22, 3227, 2510.89
0.001000, 22, 3227, 2511.41
0.001000, 23, 3227, 2512.18
0.001000, 24, 3227, 2512.94
0.001000, 25, 3227, 2513.70
0.001000, 26, 3227, 2514.42
0.001000, 27, 3227, 2515.15
0.001000, 28, 3227, 2515.88
0.001000, 28, 3227, 2516.32
0.001000, 30, 3227, 2517.09
0.001000, 30, 3227, 2517.57
0.001000, 30, 3227, 2518.08
0.001000, 31, 3227, 2518.82
0.001000, 31, 3227, 2519.32
0.001000, 32, 3227, 2519.84
0.001000, 32, 3227, 2520.31
0.001000, 33, 3227, 2521.03
0.001000, 34, 3227, 2521.78
0.001000, 35, 3227, 2522.53
0.001000, 35, 3227, 2523.01
0.001000, 37, 3227, 2523.76
0.001000, 37, 3227, 2524.25
0.001000, 38, 3227, 2524.99
0.001000, 39, 3227, 2525.45
0.001000, 40, 3227, 2526.18
0.001000, 41, 3227, 2526.92
0.001000, 42, 3227, 2527.67
0.001000, 42, 3227, 2528.16
