rate, elasped time (s), max val, avg val
0.001000, 0, 282, 247.41
0.001000, 0, 308, 247.51
0.001000, 0, 342, 247.64
0.001000, 0, 342, 247.75
0.001000, 0, 342, 247.87
0.001000, 0, 342, 247.98
0.001000, 0, 342, 248.10
0.001000, 0, 342, 248.21
0.001000, 0, 342, 248.32
0.001000, 0, 342, 248.43
0.001000, 0, 342, 248.54
0.001000, 0, 342, 248.65
0.001000, 0, 347, 248.77
0.001000, 0, 347, 248.87
0.001000, 0, 347, 248.97
0.001000, 0, 347, 249.08
0.001000, 0, 347, 249.20
0.001000, 0, 347, 249.30
0.001000, 0, 347, 249.41
0.001000, 0, 347, 249.52
0.001000, 0, 347, 249.62
0.001000, 0, 347, 249.72
0.001000, 0, 347, 249.81
0.001000, 0, 347, 249.91
0.001000, 0, 347, 250.02
0.002000, 0, 347, 250.14
0.002000, 0, 347, 250.25
0.002000, 0, 347, 250.36
0.002000, 0, 347, 250.47
0.002000, 0, 347, 250.58
0.002000, 0, 347, 250.68
0.002000, 0, 347, 250.78
0.002000, 0, 347, 250.89
0.002000, 0, 347, 250.97
0.002000, 0, 347, 251.07
0.002000, 0, 347, 251.17
0.002000, 0, 347, 251.26
0.002000, 0, 347, 251.37
0.002000, 0, 347, 251.49
0.002000, 0, 347, 251.60
0.002000, 0, 347, 251.70
0.002000, 0, 347, 251.80
0.002000, 0, 347, 251.90
0.002000, 0, 347, 252.00
0.002000, 0, 347, 252.10
0.002000, 0, 347, 252.21
0.002000, 0, 347, 252.32
0.001000, 0, 348, 252.44
0.001000, 0, 348, 252.53
0.001000, 0, 348, 252.62
0.001000, 0, 348, 252.73
0.001000, 0, 348, 252.84
0.001000, 0, 351, 252.96
0.001000, 0, 351, 253.07
0.001000, 0, 351, 253.18
0.001000, 0, 351, 253.28
0.001000, 0, 351, 253.39
0.001000, 0, 351, 253.48
0.001000, 0, 351, 253.58
0.001000, 0, 351, 253.67
0.001000, 0, 351, 253.77
0.001000, 0, 351, 253.88
0.001000, 0, 351, 253.98
0.001000, 0, 351, 254.09
0.001000, 0, 351, 254.18
0.001000, 0, 351, 254.27
0.001000, 0, 351, 254.37
0.001000, 0, 351, 254.48
0.001000, 0, 351, 254.58
0.001000, 0, 351, 254.67
0.001000, 0, 351, 254.78
0.001000, 0, 351, 254.88
0.001000, 0, 351, 254.99
0.001000, 0, 351, 255.10
0.001000, 0, 351, 255.20
0.001000, 0, 351, 255.31
0.001000, 0, 351, 255.41
0.001000, 0, 351, 255.50
0.001000, 0, 351, 255.60
0.001000, 0, 351, 255.69
0.001000, 0, 351, 255.78
0.001000, 0, 351, 255.90
0.001000, 0, 351, 256.01
0.001000, 0, 351, 256.12
0.001000, 0, 351, 256.21
0.001000, 0, 351, 256.31
0.001000, 0, 351, 256.42
0.001000, 0, 351, 256.51
0.001000, 0, 351, 256.60
0.001000, 0, 351, 256.69
0.001000, 0, 351, 256.79
0.001000, 0, 351, 256.89
0.001000, 0, 351, 257.00
0.001000, 0, 351, 257.09
0.001000, 0, 351, 257.19
0.001000, 0, 351, 257.29
0.001000, 0, 351, 257.37
0.001000, 0, 351, 257.49
0.001000, 0, 351, 257.58
0.001000, 0, 351, 257.68
0.001000, 0, 351, 257.78
0.001000, 0, 351, 257.88
0.001000, 0, 351, 257.96
0.001000, 0, 351, 258.07
0.001000, 0, 351, 258.17
0.001000, 0, 351, 258.27
0.001000, 0, 351, 258.36
0.001000, 0, 351, 258.45
0.001000, 0, 351, 258.54
0.001000, 0, 351, 258.63
0.001000, 0, 351, 258.74
0.001000, 0, 351, 258.84
0.001000, 0, 351, 258.93
0.001000, 0, 351, 259.04
0.001000, 0, 351, 259.14
0.001000, 0, 351, 259.24
0.001000, 0, 351, 259.34
0.001000, 0, 351, 259.44
0.001000, 0, 351, 259.53
0.001000, 0, 351, 259.64
0.001000, 0, 351, 259.74
0.001000, 0, 351, 259.85
0.001000, 0, 351, 259.94
0.001000, 0, 351, 260.02
0.001000, 0, 351, 260.12
0.001000, 0, 351, 260.22
0.001000, 0, 351, 260.31
0.001000, 0, 351, 260.41
0.001000, 0, 351, 260.50
0.001000, 0, 351, 260.59
0.001000, 0, 351, 260.69
0.001000, 0, 351, 260.77
0.001000, 0, 351, 260.88
0.001000, 0, 351, 260.97
0.001000, 0, 351, 261.06
0.001000, 0, 351, 261.17
0.001000, 0, 351, 261.26
0.001000, 0, 351, 261.36
0.001000, 0, 351, 261.46
0.001000, 0, 351, 261.55
0.001000, 0, 351, 261.64
0.001000, 0, 351, 261.74
0.001000, 0, 351, 261.84
0.001000, 0, 351, 261.92
0.001000, 0, 351, 262.03
0.001000, 0, 351, 262.12
0.001000, 0, 351, 262.22
0.001000, 0, 351, 262.31
0.001000, 0, 351, 262.39
0.001000, 0, 351, 262.50
0.001000, 0, 351, 262.61
0.001000, 1, 351, 262.71
0.001000, 1, 351, 262.82
0.001000, 1, 351, 262.93
0.001000, 1, 351, 263.04
0.001000, 1, 351, 263.13
0.001000, 1, 351, 263.23
0.001000, 1, 351, 263.33
0.001000, 1, 351, 263.42
0.001000, 1, 351, 263.52
0.001000, 1, 351, 263.62
0.001000, 1, 353, 263.73
0.001000, 1, 353, 263.84
0.001000, 1, 353, 263.95
0.001000, 1, 353, 264.04
0.001000, 1, 353, 264.14
0.001000, 1, 353, 264.24
0.001000, 1, 353, 264.33
0.001000, 1, 353, 264.44
0.001000, 1, 353, 264.54
0.001000, 1, 353, 264.64
0.001000, 1, 353, 264.74
0.001000, 1, 353, 264.84
0.001000, 1, 353, 264.93
0.001000, 1, 353, 265.01
0.001000, 1, 353, 265.12
0.001000, 1, 353, 265.20
0.001000, 1, 353, 265.30
0.001000, 1, 353, 265.39
0.001000, 1, 353, 265.49
0.001000, 1, 353, 265.58
0.001000, 1, 353, 265.68
0.001000, 1, 353, 265.77
0.001000, 1, 353, 265.85
0.001000, 1, 353, 265.95
0.001000, 1, 353, 266.05
0.001000, 1, 353, 266.12
0.001000, 1, 353, 266.22
