number, avg elapsed time (s), avg max val, avg rate, max val1, rate 1, max val2, rate 2, max val 3, rate 3, graph, nodes, edges, selection, crossover, mutation, replacement, N, K, S_RATE, M_THRE, P0, POINTS, K_FIT, T
1, 154.00, 3209.00, 0.470000, 3190, 0.700000, 3228, 0.700000, 3209, 0.010000, maxcut500, 500, 4990, roulette, multi, general, general, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
2, 124.00, 3213.00, 0.706667, 3222, 0.710000, 3209, 0.700000, 3210, 0.710000, maxcut500, 500, 4990, sharing, multi, general, general, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
3, 180.00, 2770.00, 0.010000, 2755, 0.010000, 2758, 0.010000, 2797, 0.010000, maxcut500, 500, 4990, tornament, multi, general, general, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
4, 113.00, 3212.00, 0.700000, 3195, 0.700000, 3199, 0.700000, 3244, 0.700000, maxcut500, 500, 4990, order, multi, general, general, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
5, 180.00, 3215.00, 0.553333, 3218, 0.010000, 3214, 0.750000, 3213, 0.900000, maxcut500, 500, 4990, roulette, multi, general, general, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
6, 180.00, 3227.00, 0.113333, 3225, 0.050000, 3233, 0.280000, 3224, 0.010000, maxcut500, 500, 4990, sharing, multi, general, general, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
7, 180.00, 2769.00, 0.013333, 2791, 0.010000, 2749, 0.010000, 2768, 0.020000, maxcut500, 500, 4990, tornament, multi, general, general, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
8, 180.00, 3215.00, 0.153333, 3221, 0.370000, 3222, 0.080000, 3203, 0.010000, maxcut500, 500, 4990, order, multi, general, preselection, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
9, 169.00, 3222.00, 0.266667, 3220, 0.020000, 3232, 0.700000, 3216, 0.080000, maxcut500, 500, 4990, roulette, multi, general, preselection, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
10, 163.00, 3214.00, 0.243333, 3208, 0.020000, 3236, 0.700000, 3199, 0.010000, maxcut500, 500, 4990, sharing, multi, general, preselection, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
11, 180.00, 2801.00, 0.013333, 2794, 0.010000, 2807, 0.020000, 2802, 0.010000, maxcut500, 500, 4990, tornament, multi, general, preselection, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
12, 106.00, 3223.00, 0.700000, 3215, 0.700000, 3255, 0.700000, 3201, 0.700000, maxcut500, 500, 4990, order, multi, general, preselection, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
13, 180.00, 3236.00, 0.380000, 3236, 0.900000, 3255, 0.090000, 3219, 0.150000, maxcut500, 500, 4990, roulette, multi, general, preselection, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
14, 180.00, 3218.00, 0.313333, 3237, 0.020000, 3208, 0.900000, 3211, 0.020000, maxcut500, 500, 4990, sharing, multi, general, preselection, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
15, 180.00, 2792.00, 0.010000, 2808, 0.010000, 2762, 0.010000, 2806, 0.010000, maxcut500, 500, 4990, tornament, multi, general, preselection, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
16, 180.00, 3222.00, 0.280000, 3244, 0.790000, 3218, 0.040000, 3206, 0.010000, maxcut500, 500, 4990, order, one, general, general, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
17, 177.00, 3213.00, 0.260000, 3193, 0.070000, 3231, 0.700000, 3216, 0.010000, maxcut500, 500, 4990, roulette, one, general, general, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
18, 174.00, 3229.00, 0.370000, 3211, 0.700000, 3243, 0.360000, 3233, 0.050000, maxcut500, 500, 4990, sharing, one, general, general, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
19, 180.00, 2948.00, 0.010000, 2948, 0.010000, 2954, 0.010000, 2943, 0.010000, maxcut500, 500, 4990, tornament, one, general, general, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
20, 139.00, 3217.00, 0.700000, 3212, 0.700000, 3217, 0.700000, 3223, 0.700000, maxcut500, 500, 4990, order, one, general, general, 100, 10, 0.700000, 0.015000, 0.600000, 4, 4, 0.700000
