number, avg elapsed time (s), avg max val, avg rate, max val1, rate 1, max val2, rate 2, max val 3, rate 3, graph, nodes, edges, selection, crossover, mutation, replacement, N, K, S_RATE, M_THRE, P0, POINTS, K_FIT, T, C
1, 180.00, 2928.00, 0.013333, 2914, 0.020000, 2926, 0.010000, 2945, 0.010000, maxcut500, 500, 4990, random, fixedonepoint, decrease, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
2, 180.00, 2935.00, 0.010000, 2933, 0.010000, 2933, 0.010000, 2941, 0.010000, maxcut500, 500, 4990, roulette, fixedonepoint, decrease, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
3, 180.00, 2951.00, 0.010000, 2965, 0.010000, 2955, 0.010000, 2933, 0.010000, maxcut500, 500, 4990, sharing, fixedonepoint, decrease, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
4, 180.00, 2793.00, 0.010000, 2798, 0.010000, 2793, 0.010000, 2788, 0.010000, maxcut500, 500, 4990, tornament, fixedonepoint, decrease, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
5, 180.00, 2958.00, 0.010000, 2945, 0.010000, 2977, 0.010000, 2952, 0.010000, maxcut500, 500, 4990, order, fixedonepoint, decrease, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
6, 180.00, 2863.00, 0.016667, 2855, 0.010000, 2866, 0.020000, 2870, 0.020000, maxcut500, 500, 4990, random, fixedonepoint, decrease, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
7, 180.00, 2878.00, 0.010000, 2900, 0.010000, 2868, 0.010000, 2866, 0.010000, maxcut500, 500, 4990, roulette, fixedonepoint, decrease, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
8, 180.00, 2863.00, 0.010000, 2865, 0.010000, 2841, 0.010000, 2884, 0.010000, maxcut500, 500, 4990, sharing, fixedonepoint, decrease, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
9, 180.00, 2743.00, 0.013333, 2755, 0.010000, 2735, 0.020000, 2739, 0.010000, maxcut500, 500, 4990, tornament, fixedonepoint, decrease, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
10, 180.00, 2868.00, 0.010000, 2875, 0.010000, 2852, 0.010000, 2878, 0.010000, maxcut500, 500, 4990, order, fixedonepoint, decrease, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
11, 180.00, 2902.00, 0.010000, 2915, 0.010000, 2896, 0.010000, 2897, 0.010000, maxcut500, 500, 4990, random, fixedonepoint, decrease, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
12, 180.00, 2901.00, 0.010000, 2901, 0.010000, 2883, 0.010000, 2919, 0.010000, maxcut500, 500, 4990, roulette, fixedonepoint, decrease, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
13, 180.00, 2933.00, 0.013333, 2935, 0.020000, 2926, 0.010000, 2939, 0.010000, maxcut500, 500, 4990, sharing, fixedonepoint, decrease, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
14, 180.00, 2788.00, 0.013333, 2777, 0.010000, 2801, 0.010000, 2788, 0.020000, maxcut500, 500, 4990, tornament, fixedonepoint, decrease, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
15, 180.00, 2924.00, 0.010000, 2919, 0.010000, 2933, 0.010000, 2920, 0.010000, maxcut500, 500, 4990, order, fixedonepoint, general, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
16, 180.00, 3207.00, 0.016667, 3206, 0.020000, 3218, 0.010000, 3197, 0.020000, maxcut500, 500, 4990, random, fixedonepoint, general, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
17, 180.00, 3202.00, 0.083333, 3186, 0.030000, 3207, 0.020000, 3214, 0.200000, maxcut500, 500, 4990, roulette, fixedonepoint, general, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
18, 180.00, 3216.00, 0.203333, 3219, 0.200000, 3214, 0.210000, 3216, 0.200000, maxcut500, 500, 4990, sharing, fixedonepoint, general, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
19, 180.00, 2814.00, 0.010000, 2817, 0.010000, 2823, 0.010000, 2804, 0.010000, maxcut500, 500, 4990, tornament, fixedonepoint, general, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
20, 180.00, 3218.00, 0.140000, 3224, 0.200000, 3201, 0.020000, 3231, 0.200000, maxcut500, 500, 4990, order, fixedonepoint, general, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
21, 180.00, 3131.00, 0.020000, 3181, 0.020000, 3110, 0.030000, 3104, 0.010000, maxcut500, 500, 4990, random, fixedonepoint, general, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
22, 180.00, 3157.00, 0.013333, 3158, 0.010000, 3191, 0.020000, 3122, 0.010000, maxcut500, 500, 4990, roulette, fixedonepoint, general, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
23, 180.00, 3142.00, 0.013333, 3154, 0.020000, 3137, 0.010000, 3135, 0.010000, maxcut500, 500, 4990, sharing, fixedonepoint, general, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
24, 180.00, 2876.00, 0.013333, 2896, 0.010000, 2869, 0.020000, 2863, 0.010000, maxcut500, 500, 4990, tornament, fixedonepoint, general, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
