number, avg elapsed time (s), avg max val, avg rate, max val1, rate 1, max val2, rate 2, max val 3, rate 3, graph, nodes, edges, selection, crossover, mutation, replacement, N, K, S_RATE, M_THRE, P0, POINTS, K_FIT, T
1, 180.00, 3171.00, 0.026667, 3200, 0.040000, 3158, 0.030000, 3155, 0.010000, maxcut500, 500, 4990, order, multi, general, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000
2, 180.00, 3196.00, 0.100000, 3198, 0.020000, 3240, 0.080000, 3150, 0.200000, maxcut500, 500, 4990, roulette, multi, general, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000
3, 180.00, 2601.00, 0.010000, 2638, 0.010000, 2574, 0.010000, 2592, 0.010000, maxcut500, 500, 4990, sharing, multi, general, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000
4, 180.00, 3222.00, 0.076667, 3242, 0.200000, 3207, 0.010000, 3217, 0.020000, maxcut500, 500, 4990, tornament, multi, general, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000
5, 180.00, 3134.00, 0.010000, 3132, 0.010000, 3138, 0.010000, 3134, 0.010000, maxcut500, 500, 4990, order, multi, general, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000
6, 180.00, 3118.00, 0.016667, 3130, 0.010000, 3125, 0.020000, 3101, 0.020000, maxcut500, 500, 4990, roulette, multi, general, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000
7, 180.00, 2962.00, 0.010000, 2942, 0.010000, 2978, 0.010000, 2967, 0.010000, maxcut500, 500, 4990, sharing, multi, general, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000
8, 180.00, 3118.00, 0.013333, 3091, 0.020000, 3119, 0.010000, 3145, 0.010000, maxcut500, 500, 4990, tornament, multi, general, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000
9, 180.00, 3163.00, 0.050000, 3157, 0.020000, 3169, 0.040000, 3165, 0.090000, maxcut500, 500, 4990, order, multi, general, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000
10, 180.00, 3200.00, 0.026667, 3205, 0.010000, 3209, 0.040000, 3188, 0.030000, maxcut500, 500, 4990, roulette, multi, general, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000
